driver_name,fp_pos_1,fp_time_1,season,round,fp_pos_2,fp_time_2,fp_pos_3,fp_time_3,fl_pos,fl_time,initial_tyre,num_o_ps,qualifying_position,qualifying_time,sprint_position,sprint_laps,sprint_time,has_sprint,qualifying_sprint_position,qualifying_sprint_time,sprint_fl_pos,sprint_fl_time
nico rosberg,1.0,89557.0,2015,1,1.0,87697.0,3.0,88821.0,2.0,91092.0,S,2.0,2.0,86921.0,,,,,,,,
lewis hamilton,2.0,89586.0,2015,1,2.0,87797.0,1.0,87867.0,1.0,90945.0,S,2.0,1.0,86327.0,,,,,,,,
valtteri bottas,3.0,90748.0,2015,1,5.0,89265.0,4.0,88912.0,,,nan,,,,,,,,,,,
carlos sainz,4.0,91014.0,2015,1,7.0,90071.0,9.0,89869.0,11.0,92872.0,S,2.0,7.0,88510.0,,,,,,,,
sebastian vettel,5.0,91029.0,2015,1,3.0,88412.0,2.0,88563.0,4.0,91457.0,S,2.0,4.0,87757.0,,,,,,,,
max verstappen,6.0,91067.0,2015,1,14.0,91395.0,11.0,89952.0,13.0,94295.0,M,2.0,11.0,88868.0,,,,,,,,
felipe massa,7.0,91188.0,2015,1,,,5.0,88988.0,6.0,91719.0,S,2.0,3.0,87718.0,,,,,,,,
kimi raikkonen,8.0,91310.0,2015,1,4.0,88842.0,6.0,89017.0,3.0,91426.0,S,4.0,5.0,87790.0,,,,,,,,
pastor maldonado,9.0,91451.0,2015,1,8.0,90104.0,8.0,89864.0,,,S,,9.0,89480.0,,,,,,,,
daniel ricciardo,10.0,91570.0,2015,1,,,15.0,91185.0,10.0,92797.0,S,2.0,6.0,88329.0,,,,,,,,
daniil kvyat,11.0,92073.0,2015,1,6.0,90016.0,18.0,92830.0,,,nan,,12.0,89070.0,,,,,,,,
sergio perez,12.0,92247.0,2015,1,12.0,90980.0,14.0,90993.0,7.0,91959.0,M,2.0,14.0,89209.0,,,,,,,,
nico hulkenberg,13.0,92261.0,2015,1,10.0,90473.0,13.0,90741.0,8.0,91970.0,S,4.0,13.0,89208.0,,,,,,,,
jenson button,14.0,94542.0,2015,1,13.0,91387.0,17.0,91666.0,12.0,93338.0,S,2.0,16.0,91422.0,,,,,,,,
