season,round,driver,driver_points,driver_wins,driver_standings_pos
2019,1,bottas,26.0,1,1
2019,1,hamilton,18.0,0,2
2019,1,max_verstappen,15.0,0,3
2019,1,vettel,12.0,0,4
2019,1,leclerc,10.0,0,5
2019,1,kevin_magnussen,8.0,0,6
2019,1,hulkenberg,6.0,0,7
2019,1,raikkonen,4.0,0,8
2019,1,stroll,2.0,0,9
2019,1,kvyat,1.0,0,10
2019,1,gasly,0.0,0,11
2019,1,norris,0.0,0,12
2019,1,perez,0.0,0,13
2019,1,albon,0.0,0,14
2019,1,giovinazzi,0.0,0,15
2019,1,russell,0.0,0,16
2019,1,kubica,0.0,0,17
2019,1,grosjean,0.0,0,18
2019,1,ricciardo,0.0,0,19
2019,1,sainz,0.0,0,20
2019,2,bottas,44.0,1,1
2019,2,hamilton,43.0,1,2
2019,2,max_verstappen,27.0,0,3
2019,2,leclerc,26.0,0,4
2019,2,vettel,22.0,0,5
2019,2,raikkonen,10.0,0,6
2019,2,norris,8.0,0,7
2019,2,kevin_magnussen,8.0,0,8
2019,2,hulkenberg,6.0,0,9
2019,2,gasly,4.0,0,10
2019,2,albon,2.0,0,11
2019,2,stroll,2.0,0,12
2019,2,kvyat,1.0,0,13
2019,2,perez,1.0,0,14
2019,2,giovinazzi,0.0,0,15
2019,2,russell,0.0,0,16
2019,2,kubica,0.0,0,17
2019,2,ricciardo,0.0,0,18
2019,2,grosjean,0.0,0,19
2019,2,sainz,0.0,0,20
2019,3,hamilton,68.0,2,1
2019,3,bottas,62.0,1,2
2019,3,max_verstappen,39.0,0,3
2019,3,vettel,37.0,0,4
2019,3,leclerc,36.0,0,5
2019,3,gasly,13.0,0,6
2019,3,raikkonen,12.0,0,7
2019,3,norris,8.0,0,8
2019,3,kevin_magnussen,8.0,0,9
2019,3,hulkenberg,6.0,0,10
2019,3,ricciardo,6.0,0,11
2019,3,perez,5.0,0,12
2019,3,albon,3.0,0,13
2019,3,stroll,2.0,0,14
2019,3,kvyat,1.0,0,15
2019,3,giovinazzi,0.0,0,16
2019,3,grosjean,0.0,0,17
2019,3,sainz,0.0,0,18
2019,3,russell,0.0,0,19
2019,3,kubica,0.0,0,20
2019,4,bottas,87.0,2,1
2019,4,hamilton,86.0,2,2
2019,4,vettel,52.0,0,3
2019,4,max_verstappen,51.0,0,4
2019,4,leclerc,47.0,0,5
2019,4,perez,13.0,0,6
2019,4,gasly,13.0,0,7
2019,4,raikkonen,13.0,0,8
2019,4,norris,12.0,0,9
2019,4,kevin_magnussen,8.0,0,10
2019,4,hulkenberg,6.0,0,11
2019,4,sainz,6.0,0,12
2019,4,ricciardo,6.0,0,13
2019,4,stroll,4.0,0,14
2019,4,albon,3.0,0,15
2019,4,kvyat,1.0,0,16
2019,4,giovinazzi,0.0,0,17
2019,4,grosjean,0.0,0,18
2019,4,russell,0.0,0,19
2019,4,kubica,0.0,0,20
2019,5,hamilton,112.0,3,1
2019,5,bottas,105.0,2,2
2019,5,max_verstappen,66.0,0,3
2019,5,vettel,64.0,0,4
2019,5,leclerc,57.0,0,5
2019,5,gasly,21.0,0,6
2019,5,kevin_magnussen,14.0,0,7
2019,5,perez,13.0,0,8
2019,5,raikkonen,13.0,0,9
2019,5,norris,12.0,0,10
2019,5,sainz,10.0,0,11
2019,5,ricciardo,6.0,0,12
2019,5,hulkenberg,6.0,0,13
2019,5,stroll,4.0,0,14
2019,5,albon,3.0,0,15
2019,5,kvyat,3.0,0,16
2019,5,grosjean,1.0,0,17
2019,5,giovinazzi,0.0,0,18
2019,5,russell,0.0,0,19
2019,5,kubica,0.0,0,20
2019,6,hamilton,137.0,4,1
2019,6,bottas,120.0,2,2
2019,6,vettel,82.0,0,3
2019,6,max_verstappen,78.0,0,4
2019,6,leclerc,57.0,0,5
2019,6,gasly,32.0,0,6
2019,6,sainz,18.0,0,7
2019,6,kevin_magnussen,14.0,0,8
2019,6,perez,13.0,0,9
2019,6,raikkonen,13.0,0,10
2019,6,norris,12.0,0,11
2019,6,kvyat,9.0,0,12
2019,6,ricciardo,8.0,0,13
2019,6,albon,7.0,0,14
2019,6,hulkenberg,6.0,0,15
2019,6,stroll,4.0,0,16
2019,6,grosjean,2.0,0,17
2019,6,giovinazzi,0.0,0,18
2019,6,russell,0.0,0,19
2019,6,kubica,0.0,0,20
2019,7,hamilton,162.0,5,1
2019,7,bottas,133.0,2,2
2019,7,vettel,100.0,0,3
2019,7,max_verstappen,88.0,0,4
2019,7,leclerc,72.0,0,5
2019,7,gasly,36.0,0,6
2019,7,sainz,18.0,0,7
2019,7,ricciardo,16.0,0,8
2019,7,kevin_magnussen,14.0,0,9
2019,7,perez,13.0,0,10
2019,7,raikkonen,13.0,0,11
2019,7,norris,12.0,0,12
2019,7,hulkenberg,12.0,0,13
2019,7,kvyat,10.0,0,14
2019,7,albon,7.0,0,15
2019,7,stroll,6.0,0,16
2019,7,grosjean,2.0,0,17
2019,7,giovinazzi,0.0,0,18
2019,7,russell,0.0,0,19
2019,7,kubica,0.0,0,20
2019,8,hamilton,187.0,6,1
2019,8,bottas,151.0,2,2
2019,8,vettel,111.0,0,3
2019,8,max_verstappen,100.0,0,4
2019,8,leclerc,87.0,0,5
2019,8,gasly,37.0,0,6
2019,8,sainz,26.0,0,7
2019,8,raikkonen,19.0,0,8
2019,8,ricciardo,16.0,0,9
2019,8,hulkenberg,16.0,0,10
2019,8,kevin_magnussen,14.0,0,11
2019,8,norris,14.0,0,12
2019,8,perez,13.0,0,13
2019,8,kvyat,10.0,0,14
2019,8,albon,7.0,0,15
2019,8,stroll,6.0,0,16
2019,8,grosjean,2.0,0,17
2019,8,giovinazzi,0.0,0,18
2019,8,russell,0.0,0,19
2019,8,kubica,0.0,0,20
2019,9,hamilton,197.0,6,1
2019,9,bottas,166.0,2,2
2019,9,max_verstappen,126.0,1,3
2019,9,vettel,123.0,0,4
2019,9,leclerc,105.0,0,5
2019,9,gasly,43.0,0,6
2019,9,sainz,30.0,0,7
2019,9,norris,22.0,0,8
2019,9,raikkonen,21.0,0,9
2019,9,ricciardo,16.0,0,10
2019,9,hulkenberg,16.0,0,11
2019,9,kevin_magnussen,14.0,0,12
2019,9,perez,13.0,0,13
2019,9,kvyat,10.0,0,14
2019,9,albon,7.0,0,15
2019,9,stroll,6.0,0,16
2019,9,grosjean,2.0,0,17
2019,9,giovinazzi,1.0,0,18
2019,9,russell,0.0,0,19
2019,9,kubica,0.0,0,20
2019,10,hamilton,223.0,7,1
2019,10,bottas,184.0,2,2
2019,10,max_verstappen,136.0,1,3
2019,10,vettel,123.0,0,4
2019,10,leclerc,120.0,0,5
2019,10,gasly,55.0,0,6
2019,10,sainz,38.0,0,7
2019,10,raikkonen,25.0,0,8
2019,10,norris,22.0,0,9
2019,10,ricciardo,22.0,0,10
2019,10,hulkenberg,17.0,0,11
2019,10,kevin_magnussen,14.0,0,12
2019,10,perez,13.0,0,13
2019,10,kvyat,12.0,0,14
2019,10,albon,7.0,0,15
2019,10,stroll,6.0,0,16
2019,10,grosjean,2.0,0,17
2019,10,giovinazzi,1.0,0,18
2019,10,russell,0.0,0,19
2019,10,kubica,0.0,0,20
2019,11,hamilton,225.0,7,1
2019,11,bottas,184.0,2,2
2019,11,max_verstappen,162.0,2,3
2019,11,vettel,141.0,0,4
2019,11,leclerc,120.0,0,5
2019,11,gasly,55.0,0,6
2019,11,sainz,48.0,0,7
2019,11,kvyat,27.0,0,8
2019,11,raikkonen,25.0,0,9
2019,11,norris,22.0,0,10
2019,11,ricciardo,22.0,0,11
2019,11,stroll,18.0,0,12
2019,11,kevin_magnussen,18.0,0,13
2019,11,hulkenberg,17.0,0,14
2019,11,albon,15.0,0,15
2019,11,perez,13.0,0,16
2019,11,grosjean,8.0,0,17
2019,11,giovinazzi,1.0,0,18
2019,11,kubica,1.0,0,19
2019,11,russell,0.0,0,20
2019,12,hamilton,250.0,8,1
2019,12,bottas,188.0,2,2
2019,12,max_verstappen,181.0,2,3
2019,12,vettel,156.0,0,4
2019,12,leclerc,132.0,0,5
2019,12,gasly,63.0,0,6
2019,12,sainz,58.0,0,7
2019,12,raikkonen,31.0,0,8
2019,12,kvyat,27.0,0,9
2019,12,norris,24.0,0,10
2019,12,ricciardo,22.0,0,11
2019,12,stroll,18.0,0,12
2019,12,kevin_magnussen,18.0,0,13
2019,12,hulkenberg,17.0,0,14
2019,12,albon,16.0,0,15
2019,12,perez,13.0,0,16
2019,12,grosjean,8.0,0,17
2019,12,giovinazzi,1.0,0,18
2019,12,kubica,1.0,0,19
2019,12,russell,0.0,0,20
2019,13,hamilton,268.0,8,1
2019,13,bottas,203.0,2,2
2019,13,max_verstappen,181.0,2,3
2019,13,vettel,169.0,0,4
2019,13,leclerc,157.0,1,5
2019,13,gasly,65.0,0,6
2019,13,sainz,58.0,0,7
2019,13,kvyat,33.0,0,8
