season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1:20.598
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1:20.486
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1:21.320
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,vettel,1987-07-03,German,ferrari,3,4,0.0,0.0,0.0,0.0,0.0,0.0,1:21.190
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1:21.442
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,7,6,0.0,0.0,0.0,0.0,0.0,0.0,1:22.099
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,hulkenberg,1987-08-19,German,renault,11,7,0.0,0.0,0.0,0.0,0.0,0.0,1:22.562
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,9,8,0.0,0.0,0.0,0.0,0.0,0.0,1:22.314
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,16,9,0.0,0.0,0.0,0.0,0.0,0.0,1:23.017
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,15,10,0.0,0.0,0.0,0.0,0.0,0.0,1:22.774
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,gasly,1996-02-07,French,red_bull,17,11,0.0,0.0,0.0,0.0,0.0,0.0,1:23.020
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,norris,1999-11-13,British,mclaren,8,12,0.0,0.0,0.0,0.0,0.0,0.0,1:22.304
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,perez,1990-01-26,Mexican,racing_point,10,13,0.0,0.0,0.0,0.0,0.0,0.0,1:22.781
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,albon,1996-03-23,Thai,toro_rosso,13,14,0.0,0.0,0.0,0.0,0.0,0.0,1:22.636
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,14,15,0.0,0.0,0.0,0.0,0.0,0.0,1:22.714
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,russell,1998-02-15,British,williams,19,16,0.0,0.0,0.0,0.0,0.0,0.0,1:24.360
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,kubica,1984-12-07,Polish,williams,20,17,0.0,0.0,0.0,0.0,0.0,0.0,1:26.067
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,grosjean,1986-04-17,French,haas,6,18,0.0,0.0,0.0,0.0,0.0,0.0,1:21.826
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,ricciardo,1989-07-01,Australian,renault,12,19,0.0,0.0,0.0,0.0,0.0,0.0,1:22.570
2019,1,albert_park,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,18,20,0.0,0.0,0.0,0.0,0.0,0.0,1:23.084
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,hamilton,1985-01-07,British,mercedes,3,1,18.0,0.0,2.0,44.0,1.0,1.0,1:28.190
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,4,2,26.0,1.0,1.0,44.0,1.0,1.0,1:28.256
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,1,3,10.0,0.0,5.0,22.0,0.0,2.0,1:27.866
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,5,4,15.0,0.0,3.0,15.0,0.0,3.0,1:28.752
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,vettel,1987-07-03,German,ferrari,2,5,12.0,0.0,4.0,22.0,0.0,2.0,1:28.160
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,norris,1999-11-13,British,mclaren,9,6,0.0,0.0,12.0,0.0,0.0,9.0,1:29.043
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,8,7,4.0,0.0,8.0,4.0,0.0,6.0,1:29.022
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,gasly,1996-02-07,French,red_bull,13,8,0.0,0.0,11.0,15.0,0.0,3.0,1:29.526
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,albon,1996-03-23,Thai,toro_rosso,12,9,0.0,0.0,14.0,1.0,0.0,8.0,1:29.513
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,perez,1990-01-26,Mexican,racing_point,14,10,0.0,0.0,13.0,2.0,0.0,7.0,1:29.756
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,16,11,0.0,0.0,15.0,4.0,0.0,6.0,1:30.026
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,15,12,1.0,0.0,10.0,1.0,0.0,8.0,1:29.854
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,6,13,8.0,0.0,6.0,8.0,0.0,4.0,1:28.757
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,18,14,2.0,0.0,9.0,2.0,0.0,7.0,1:30.217
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,russell,1998-02-15,British,williams,19,15,0.0,0.0,16.0,0.0,0.0,10.0,1:31.759
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,kubica,1984-12-07,Polish,williams,20,16,0.0,0.0,17.0,0.0,0.0,10.0,1:31.799
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,hulkenberg,1987-08-19,German,renault,17,17,6.0,0.0,7.0,6.0,0.0,5.0,1:30.034
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,ricciardo,1989-07-01,Australian,renault,10,18,0.0,0.0,19.0,6.0,0.0,5.0,1:29.488
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,7,19,0.0,0.0,20.0,0.0,0.0,9.0,1:28.813
2019,2,bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,grosjean,1986-04-17,French,haas,11,20,0.0,0.0,18.0,8.0,0.0,4.0,1:29.015
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,hamilton,1985-01-07,British,mercedes,2,1,43.0,1.0,2.0,87.0,2.0,1.0,1:31.570
