season,round,circuit_id,sprint
2019,1,albert_park,no
2019,2,bahrain,no
2019,3,shanghai,no
2019,4,baku,no
2019,5,catalunya,no
2019,6,monaco,no
2019,7,villeneuve,no
2019,8,ricard,no
2019,9,red_bull_ring,no
2019,10,silverstone,no
2019,11,hockenheimring,no
2019,12,hungaroring,no
2019,13,spa,no
2019,14,monza,no
2019,15,marina_bay,no
2019,16,sochi,no
2019,17,suzuka,no
2019,18,rodriguez,no
2019,19,americas,no
2019,20,interlagos,no
2019,21,yas_marina,no
2020,1,red_bull_ring,no
2020,2,red_bull_ring,no
2020,3,hungaroring,no
2020,4,silverstone,no
2020,5,silverstone,no
2020,6,catalunya,no
2020,7,spa,no
2020,8,monza,no
2020,9,mugello,no
2020,10,sochi,no
2020,11,nurburgring,no
2020,12,portimao,no
2020,13,imola,no
2020,14,istanbul,no
2020,15,bahrain,no
2020,16,bahrain,no
2020,17,yas_marina,no
2021,1,bahrain,no
2021,2,imola,no
2021,3,portimao,no
2021,4,catalunya,no
2021,5,monaco,no
2021,6,baku,no
2021,7,ricard,no
2021,8,red_bull_ring,no
2021,9,red_bull_ring,no
2021,10,silverstone,yes
2021,11,hungaroring,no
2021,12,spa,no
2021,13,zandvoort,no
2021,14,monza,yes
2021,15,sochi,no
2021,16,istanbul,no
2021,17,americas,no
2021,18,rodriguez,no
2021,19,interlagos,yes
2021,20,losail,no
2021,21,jeddah,no
2021,22,yas_marina,no
2022,1,bahrain,no
2022,2,jeddah,no
2022,3,albert_park,no
2022,4,imola,yes
2022,5,miami,no
2022,6,catalunya,no
2022,7,monaco,no
2022,8,baku,no
2022,9,villeneuve,no
2022,10,silverstone,no
2022,11,red_bull_ring,yes
2022,12,ricard,no
2022,13,hungaroring,no
2022,14,spa,no
2022,15,zandvoort,no
2022,16,monza,no
2022,17,marina_bay,no
2022,18,suzuka,no
2022,19,americas,no
2022,20,rodriguez,no
2022,21,interlagos,yes
2022,22,yas_marina,no
2023,1,bahrain,no
2023,2,jeddah,no
2023,3,albert_park,no
2023,4,baku,yes
2023,5,miami,no
2023,6,monaco,no
2023,7,catalunya,no
2023,8,villeneuve,no
2023,9,red_bull_ring,yes
2023,10,silverstone,no
2023,11,hungaroring,no
2023,12,spa,yes
2023,13,zandvoort,no
2023,14,monza,no
2023,15,marina_bay,no
2023,16,suzuka,no
2023,17,losail,yes
2023,18,americas,yes
2023,19,rodriguez,no
2023,20,interlagos,yes
2023,21,las_vegas,no
2023,22,yas_marina,no
